Temperature_K,Surface_tension_liquid_gas_mN_m,MolWt,rdkit_MaxAbsEStateIndex,rdkit_MinAbsEStateIndex,rdkit_qed,rdkit_SPS,rdkit_NumRadicalElectrons,rdkit_BCUT2D_MWHI,rdkit_BCUT2D_MWLOW,rdkit_BCUT2D_MRLOW,rdkit_AvgIpc,rdkit_BalabanJ,rdkit_HallKierAlpha,rdkit_Ipc,rdkit_Kappa3,rdkit_PEOE_VSA1,rdkit_PEOE_VSA10,rdkit_PEOE_VSA12,rdkit_PEOE_VSA13,rdkit_PEOE_VSA2,rdkit_PEOE_VSA5,rdkit_PEOE_VSA8,rdkit_PEOE_VSA9,rdkit_SMR_VSA2,rdkit_SMR_VSA6,rdkit_SMR_VSA8,rdkit_SlogP_VSA11,rdkit_SlogP_VSA12,rdkit_SlogP_VSA7,rdkit_SlogP_VSA9,rdkit_TPSA,rdkit_EState_VSA11,rdkit_EState_VSA3,rdkit_EState_VSA4,rdkit_EState_VSA7,rdkit_EState_VSA8,rdkit_EState_VSA9,rdkit_VSA_EState10,rdkit_VSA_EState2,rdkit_VSA_EState5,rdkit_VSA_EState8,rdkit_NHOHCount,rdkit_NumAliphaticCarbocycles,rdkit_NumAliphaticHeterocycles,rdkit_NumAmideBonds,rdkit_NumAromaticCarbocycles,rdkit_NumAtomStereoCenters,rdkit_NumSpiroAtoms,rdkit_NumUnspecifiedAtomStereoCenters,rdkit_fr_Al_OH,rdkit_fr_ArN,rdkit_fr_Ar_COO,rdkit_fr_Ar_NH,rdkit_fr_Ar_OH,rdkit_fr_C_S,rdkit_fr_HOCCN,rdkit_fr_Imine,rdkit_fr_NH1,rdkit_fr_N_O,rdkit_fr_Ndealkylation1,rdkit_fr_SH,rdkit_fr_aldehyde,rdkit_fr_alkyl_carbamate,rdkit_fr_allylic_oxid,rdkit_fr_amidine,rdkit_fr_aniline,rdkit_fr_azide,rdkit_fr_azo,rdkit_fr_barbitur,rdkit_fr_benzodiazepine,rdkit_fr_bicyclic,rdkit_fr_diazo,rdkit_fr_dihydropyridine,rdkit_fr_epoxide,rdkit_fr_ester,rdkit_fr_ether,rdkit_fr_furan,rdkit_fr_guanido,rdkit_fr_hdrzine,rdkit_fr_hdrzone,rdkit_fr_imide,rdkit_fr_isocyan,rdkit_fr_isothiocyan,rdkit_fr_ketone,rdkit_fr_ketone_Topliss,rdkit_fr_lactam,rdkit_fr_lactone,rdkit_fr_nitro,rdkit_fr_nitroso,rdkit_fr_oxazole,rdkit_fr_oxime,rdkit_fr_para_hydroxylation,rdkit_fr_phenol,rdkit_fr_phenol_noOrthoHbond,rdkit_fr_phos_acid,rdkit_fr_phos_ester,rdkit_fr_piperdine,rdkit_fr_prisulfonamd,rdkit_fr_sulfide,rdkit_fr_sulfone,rdkit_fr_term_acetylene,rdkit_fr_tetrazole,rdkit_fr_thiazole,rdkit_fr_thiophene,rdkit_fr_urea
283.6,32.46,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288.1,32.54,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293.4,31.850000000000005,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298.2,31.68,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303.2,30.98,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308.2,30.28,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313.2,29.67,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318.3,29.57,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323.3,29.65,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323.4,29.41,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328.0,28.72,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328.1,29.18,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333.6,28.62,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338.6,28.21,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343.6,27.83,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348.6,27.59,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353.5,26.450000000000003,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358.4,26.17,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358.6,26.700000000000003,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365.2,25.74,549.91,7.427083333333333,0.6966063003893281,0.0553099144458868,10.894736842105264,0.0,31.183267913348203,10.055326209243525,0.547684653858146,2.9272062153728,0.0,-0.79,108718757.18626834,29.76136412443275,10.523783109476971,0.0,0.0,0.0,5.316788604006331,0.0,19.648791382090536,24.647640109871684,10.523783109476971,24.647640109871684,0.0,0.0,7.262479190532857,0.0,0.0,61.68,0.0,0.0,0.0,0.0,33.01173740276883,10.523783109476971,0.0,0.0,0.0,9.413191633650014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313.2,28.7,503.52,11.438425925925928,0.7777777777777777,0.2523921677160149,13.03225806451613,0.0,32.28904498828251,10.08673204820919,-0.6964049244140004,3.0007764174518394,5.824999787732993e-07,-1.3500000000000003,1627774.1684231677,11.729757713409493,4.127401124897844,12.393687143226153,6.3273200747645415,0.0,0.0,0.0,0.0,13.592428388589765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.19,0.0,0.0,4.127401124897844,0.0,41.82661569594122,0.0,0.0,0.0,0.0,3.45127275447216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313.3,29.1,503.52,11.438425925925928,0.7777777777777777,0.2523921677160149,13.03225806451613,0.0,32.28904498828251,10.08673204820919,-0.6964049244140004,3.0007764174518394,5.824999787732993e-07,-1.3500000000000003,1627774.1684231677,11.729757713409493,4.127401124897844,12.393687143226153,6.3273200747645415,0.0,0.0,0.0,0.0,13.592428388589765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.19,0.0,0.0,4.127401124897844,0.0,41.82661569594122,0.0,0.0,0.0,0.0,3.45127275447216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314.1,27.7,503.52,11.438425925925928,0.7777777777777777,0.2523921677160149,13.03225806451613,0.0,32.28904498828251,10.08673204820919,-0.6964049244140004,3.0007764174518394,5.824999787732993e-07,-1.3500000000000003,1627774.1684231677,11.729757713409493,4.127401124897844,12.393687143226153,6.3273200747645415,0.0,0.0,0.0,0.0,13.592428388589765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.19,0.0,0.0,4.127401124897844,0.0,41.82661569594122,0.0,0.0,0.0,0.0,3.45127275447216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333.0,26.700000000000003,503.52,11.438425925925928,0.7777777777777777,0.2523921677160149,13.03225806451613,0.0,32.28904498828251,10.08673204820919,-0.6964049244140004,3.0007764174518394,5.824999787732993e-07,-1.3500000000000003,1627774.1684231677,11.729757713409493,4.127401124897844,12.393687143226153,6.3273200747645415,0.0,0.0,0.0,0.0,13.592428388589765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.19,0.0,0.0,4.127401124897844,0.0,41.82661569594122,0.0,0.0,0.0,0.0,3.45127275447216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
